doc_id,source_file,candidates_seen,demoted_count,table_caption_before,table_caption_after,figure_caption_before,figure_caption_after,skipped_eval_only_noise,skipped_uncertain,skipped_manual_pdf_check,skipped_rule_guard
doc_0396,doc_0396.pdf,0,0,1,1,4,4,0,0,0,0
doc_0397,doc_0397.pdf,1,0,6,6,15,15,0,0,0,0
doc_0398,doc_0398.pdf,0,0,0,0,1,1,0,0,0,0
doc_0399,doc_0399.pdf,0,0,0,0,12,12,0,0,0,0
doc_0400,doc_0400.pdf,1,0,2,2,8,8,1,0,0,0
doc_0401,doc_0401.pdf,1,0,2,2,8,8,1,0,0,0
doc_0402,doc_0402.pdf,2,0,1,1,12,12,2,0,0,0
doc_0403,doc_0403.pdf,0,0,0,0,3,3,0,0,0,0
doc_0404,doc_0404.pdf,0,0,1,1,7,7,0,0,0,0
doc_0405,doc_0405.pdf,0,0,3,3,7,7,0,0,0,0
doc_0406,doc_0406.pdf,0,0,0,0,2,2,0,0,0,0
doc_0407,doc_0407.pdf,0,0,0,0,8,8,0,0,0,0
doc_0408,doc_0408.pdf,0,0,1,1,5,5,0,0,0,0
doc_0409,doc_0409.pdf,0,0,0,0,0,0,0,0,0,0
doc_0410,doc_0410.pdf,2,0,3,3,1,1,0,2,0,0
doc_0411,doc_0411.pdf,0,0,0,0,6,6,0,0,0,0
doc_0412,doc_0412.pdf,1,0,4,4,5,5,1,0,0,0
doc_0413,doc_0413.pdf,0,0,0,0,3,3,0,0,0,0
doc_0414,doc_0414.pdf,0,0,0,0,6,6,0,0,0,0
doc_0415,doc_0415.pdf,0,0,0,0,1,1,0,0,0,0
doc_0416,doc_0416.pdf,0,0,0,0,2,2,0,0,0,0
doc_0417,doc_0417.pdf,0,0,0,0,0,0,0,0,0,0
doc_0418,doc_0418.pdf,0,0,0,0,0,0,0,0,0,0
doc_0419,doc_0419.pdf,0,0,0,0,4,4,0,0,0,0
doc_0420,doc_0420.pdf,0,0,0,0,4,4,0,0,0,0
doc_0421,doc_0421.pdf,0,0,5,5,14,14,0,0,0,0
doc_0422,doc_0422.pdf,0,0,5,5,5,5,0,0,0,0
doc_0423,doc_0423.pdf,0,0,0,0,0,0,0,0,0,0
doc_0424,doc_0424.pdf,0,0,4,4,2,2,0,0,0,0
doc_0425,doc_0425.pdf,1,0,1,1,7,7,1,0,0,0
doc_0426,doc_0426.pdf,0,0,0,0,8,8,0,0,0,0
doc_0427,doc_0427.pdf,0,0,0,0,0,0,0,0,0,0
doc_0428,doc_0428.pdf,0,0,1,1,9,9,0,0,0,0
doc_0429,doc_0429.pdf,0,0,2,2,8,8,0,0,0,0
doc_0430,doc_0430.pdf,0,0,0,0,0,0,0,0,0,0
doc_0431,doc_0431.pdf,0,0,0,0,0,0,0,0,0,0
doc_0432,doc_0432.pdf,0,0,6,6,2,2,0,0,0,0
doc_0433,doc_0433.pdf,0,0,1,1,7,7,0,0,0,0
doc_0434,doc_0434.pdf,0,0,1,1,4,4,0,0,0,0
doc_0435,doc_0435.pdf,0,0,1,1,0,0,0,0,0,0
doc_0438,doc_0438.pdf,0,0,3,3,5,5,0,0,0,0
doc_0439,doc_0439.pdf,0,0,0,0,7,7,0,0,0,0
doc_0440,doc_0440.pdf,0,0,1,1,8,8,0,0,0,0
doc_0441,doc_0441.pdf,0,0,0,0,5,5,0,0,0,0
doc_0442,doc_0442.pdf,0,0,5,5,6,6,0,0,0,0
doc_0443,doc_0443.pdf,1,0,1,1,0,0,0,0,0,1
doc_0444,doc_0444.pdf,1,0,0,0,4,4,0,1,0,0
doc_0445,doc_0445.pdf,0,0,0,0,8,8,0,0,0,0
doc_0446,doc_0446.pdf,0,0,0,0,8,8,0,0,0,0
doc_0447,doc_0447.pdf,0,0,0,0,0,0,0,0,0,0
doc_0448,doc_0448.pdf,1,0,0,0,5,5,1,0,0,0
doc_0449,doc_0449.pdf,0,0,0,0,7,7,0,0,0,0
doc_0450,doc_0450.pdf,0,0,1,1,11,11,0,0,0,0
doc_0451,doc_0451.pdf,0,0,2,2,2,2,0,0,0,0
doc_0452,doc_0452.pdf,0,0,2,2,7,7,0,0,0,0
