doc_id,block_id,caption_text,protect_reason,found_block_type_after,found_text_after,preserved,source
doc_0182,p2_b0020,Figure 1. Metabolic pathway for the biosynthesis of 2′-FL in engineered E.,short_caption_with_semantic_anchor,figure_caption,Figure 1. Metabolic pathway for the biosynthesis of 2′-FL in engineered E.,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0182,p4_b0036,Figure 2. Diagrams of various engineered E.,short_caption_with_semantic_anchor,figure_caption,Figure 2. Diagrams of various engineered E.,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0183,p4_b0046,"FIGURE 1 CH2 domain mutant design and purification. (a) The structure of isolated CH2 domain (Protein Data Bank: 3DJ9). Cys261 and Cys321 form the native disulfide bond (highlighted in yellow). Thr250 and Leu314 (mut10) or Leu242 and Lys334 (mut20), which were replaced by cysteines introducing new disulfide bonds (highlighted in green and orange, respectively). (b) Amino acid sequence alignment of human CH2 domain and its mutants (all the CH2 domain residues are numbered according to european union ((EU) numbering). (c) Elution profile during the cation exchange chromatography (TOYOPEARL SP-650M) step using a NaCl gradient. (d) sodium dodecyl sulfate-polyacrylamide gel electrophoresis (SDS–PAGE) analysis of fractions from the cation exchange chromatography step. The numbers above correspond to the fraction number shown in panel (c). (e) The size exclusion chromatography of the CH2 domain is represented by the blue solid line, while mut10 is represented by the green solid line. The protein marker is indicated by the black broken line. These peaks in markers represent the following proteins and molecules: thyroglobulin (670 kDa), γ-globulin (158 kDa), ovalbumin (44 kDa), myoglobin (17 kDa), and vitamin B12 (1.3 kDa), respectively. 4 of 12",approved_eval_target_chunk,figure_caption,"FIGURE 1 CH2 domain mutant design and purification. (a) The structure of isolated CH2 domain (Protein Data Bank: 3DJ9). Cys261 and Cys321 form the native disulfide bond (highlighted in yellow). Thr250 and Leu314 (mut10) or Leu242 and Lys334 (mut20), which were replaced by cysteines introducing new disulfide bonds (highlighted in green and orange, respectively). (b) Amino acid sequence alignment of human CH2 domain and its mutants (all the CH2 domain residues are numbered according to european union ((EU) numbering). (c) Elution profile during the cation exchange chromatography (TOYOPEARL SP-650M) step using a NaCl gradient. (d) sodium dodecyl sulfate-polyacrylamide gel electrophoresis (SDS–PAGE) analysis of fractions from the cation exchange chromatography step. The numbers above correspond to the fraction number shown in panel (c). (e) The size exclusion chromatography of the CH2 domain is represented by the blue solid line, while mut10 is represented by the green solid line. The protein marker is indicated by the black broken line. These peaks in markers represent the following proteins and molecules: thyroglobulin (670 kDa), γ-globulin (158 kDa), ovalbumin (44 kDa), myoglobin (17 kDa), and vitamin B12 (1.3 kDa), respectively. 4 of 12",true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0183,p8_b0071,TABLE 3 Thermal stability of CH2 domain and disulfide bond mutants.,short_caption_with_semantic_anchor,table_caption,TABLE 3 Thermal stability of CH2 domain and disulfide bond mutants.,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0184,p16_b0104,Table S3. The signal peptide of each protein was predicted by SignalP 6.,short_caption_with_semantic_anchor,table_caption,Table S3. The signal peptide of each protein was predicted by SignalP 6.,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0184,p17_b0140,Fig. S3 (mBio00617-23-S0003.pdf). Sequence alignment of PpSpi1 and ScSpi1.,short_caption_with_semantic_anchor,figure_caption,Fig. S3 (mBio00617-23-S0003.pdf). Sequence alignment of PpSpi1 and ScSpi1.,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0184,p17_b0147,Table S4 (mBio00617-23-S0010.pdf). Strains and vectors used in this study.,short_caption_with_semantic_anchor,table_caption,Table S4 (mBio00617-23-S0010.pdf). Strains and vectors used in this study.,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0185,p2_b0019,Fig. 1. Schematic diagram of protein secretion in P.,short_caption_with_semantic_anchor,figure_caption,Fig. 1. Schematic diagram of protein secretion in P.,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0185,p3_b0024,Fig. 2. Multi-copy DEX plasmid construction in vitro.,short_caption_with_semantic_anchor,figure_caption,Fig. 2. Multi-copy DEX plasmid construction in vitro.,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0185,p5_b0046,Fig. 3. The increment in copy number improves the production of DEX.,short_caption_with_semantic_anchor,figure_caption,Fig. 3. The increment in copy number improves the production of DEX.,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0186,p13_b0102,Fig. S9. Cofactor FAD plays a role in assembly and redox Fig.,short_caption_with_semantic_anchor,figure_caption,Fig. S9. Cofactor FAD plays a role in assembly and redox Fig.,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0186,p14_b0109,"Fig. 6. In group 1, the additional FAD in culture media increased 3.",short_caption_with_semantic_anchor,figure_caption,"Fig. 6. In group 1, the additional FAD in culture media increased 3.",true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0187,p12_b0118,Fig. 1. Optical density of biosensor expressing strains.,short_caption_with_semantic_anchor,figure_caption,Fig. 1. Optical density of biosensor expressing strains.,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0187,p12_b0120,Table 1. Data aquation parameters for liquid chromatography-multiple reaction monitoring-mass spectrometry (LC-MRM-MS).,short_caption_with_semantic_anchor,table_caption,Table 1. Data aquation parameters for liquid chromatography-multiple reaction monitoring-mass spectrometry (LC-MRM-MS).,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0188,p3_b0028,Figure 1. Sketch of methanol metabolism in P.,short_caption_with_semantic_anchor,figure_caption,Figure 1. Sketch of methanol metabolism in P.,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0188,p3_b0038,Table 1. Strains and plasmids used in this study.,short_caption_with_semantic_anchor,table_caption,Table 1. Strains and plasmids used in this study.,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0188,p4_b0051,Table 2. Primers used for strain and plasmid construction in this study.,short_caption_with_semantic_anchor,table_caption,Table 2. Primers used for strain and plasmid construction in this study.,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0188,p9_b0078,"Table 4. The biomass and methanol utilization rate of PC110 strain and mutant strains, PC110-AOX1- 464 and PC110-∆AOX2, in 0.5% methanol-minimal medium.",approved_eval_target_chunk,table_caption,"Table 4. The biomass and methanol utilization rate of PC110 strain and mutant strains, PC110-AOX1- 464 and PC110-∆AOX2, in 0.5% methanol-minimal medium.",true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0189,p5_b0045,Figure 2. Identification of Sbh1-dependent and Sbh1 phosphorylation-dependent ER translocation substrates.,short_caption_with_semantic_anchor,figure_caption,Figure 2. Identification of Sbh1-dependent and Sbh1 phosphorylation-dependent ER translocation substrates.,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0189,p7_b0060,Figure 4. Screening for the kinase responsible for Sbh1 S3/T5-phosphorylation.,short_caption_with_semantic_anchor,figure_caption,Figure 4. Screening for the kinase responsible for Sbh1 S3/T5-phosphorylation.,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0189,p9_b0079,"Figure 5. Phosphorylation-dependent proline isomerase Ess1 contributes to Sbh1 regulation. A, schematic representation of the phosphorylated-S3/ T5 Sbh1 N-terminus. Phosphorylated amino acids shown in red. B, Ess1-catalyzed phosphoserine-proline isomerization. Carbon atoms in gray, oxygen atoms in red, nitrogen atoms in blue, phosphorous atom in orange, hydrogen atoms not shown. C, WT and ess1H164R strains were grown to early exponential phase, lysed, and membranes sedimented; proteins were resolved by SDS-PAGE and Ess1 (19 kD) was detected by Western blotting with specific antisera.",approved_eval_target_chunk,figure_caption,"Figure 5. Phosphorylation-dependent proline isomerase Ess1 contributes to Sbh1 regulation. A, schematic representation of the phosphorylated-S3/ T5 Sbh1 N-terminus. Phosphorylated amino acids shown in red. B, Ess1-catalyzed phosphoserine-proline isomerization. Carbon atoms in gray, oxygen atoms in red, nitrogen atoms in blue, phosphorous atom in orange, hydrogen atoms not shown. C, WT and ess1H164R strains were grown to early exponential phase, lysed, and membranes sedimented; proteins were resolved by SDS-PAGE and Ess1 (19 kD) was detected by Western blotting with specific antisera.",true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0190,p2_b0018,Figure 1. Differences between Pichia pastoris and Saccharomyces cerevisiae.,short_caption_with_semantic_anchor,figure_caption,Figure 1. Differences between Pichia pastoris and Saccharomyces cerevisiae.,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0190,p2_b0021,Figure 2. Colony morphology (A) and microscopic image (B) of P. pastoris.,short_caption_with_semantic_anchor,figure_caption,Figure 2. Colony morphology (A) and microscopic image (B) of P. pastoris.,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
